identifier	time_total_s	time_perevent_s
Reader:EventGenerator	1233	12.33
Writer:CsvParticleWriter	12.47	0.1247
Algorithm:ParticleSelector	0.3143	0.003143
Algorithm:FatrasSimulation	526.4	5.264
Writer:CsvParticleWriter	2.148	0.02148
Writer:CsvParticleWriter	2.196	0.02196
Writer:CsvSimHitWriter	31.28	0.3128
Writer:RootParticleWriter	0.7067	0.007067
Writer:RootParticleWriter	0.85	0.0085
Writer:RootSimHitWriter	64.24	0.6424
Algorithm:DigitizationAlgorithm	7.81	0.0781
Writer:CsvMeasurementWriter	29.54	0.2954
Algorithm:SpacePointMaker	3.495	0.03495
Writer:CsvSimHitWriter	31.98	0.3198
Writer:CsvMeasurementWriter	29.19	0.2919
Writer:CsvTrackingGeometryWriter	0.0003083	3.083e-06
Writer:CsvSpacepointWriter	17.54	0.1754
