timestamp, index, memory.total [MiB], memory.reserved [MiB], memory.free [MiB], memory.used [MiB]
2023/11/21 03:28:45.447, 0, 40960, 621, 3005, 37332
2023/11/21 03:28:45.458, 0, 40960, 621, 3005, 37332
2023/11/21 03:28:45.468, 0, 40960, 621, 3005, 37332
2023/11/21 03:28:45.478, 0, 40960, 621, 3005, 37332
2023/11/21 03:28:45.488, 0, 40960, 621, 3005, 37332
2023/11/21 03:28:45.498, 0, 40960, 621, 3005, 37332
2023/11/21 03:28:45.508, 0, 40960, 621, 3005, 37332
2023/11/21 03:28:45.518, 0, 40960, 621, 3005, 37332
2023/11/21 03:28:45.528, 0, 40960, 621, 3005, 37332
2023/11/21 03:28:45.538, 0, 40960, 621, 3005, 37332
2023/11/21 03:28:45.549, 0, 40960, 621, 3005, 37332
2023/11/21 03:28:45.559, 0, 40960, 621, 3005, 37332
2023/11/21 03:28:45.569, 0, 40960, 621, 3005, 37332
2023/11/21 03:28:45.579, 0, 40960, 621, 3005, 37332
2023/11/21 03:28:45.589, 0, 40960, 621, 3005, 37332
2023/11/21 03:28:45.599, 0, 40960, 621, 3005, 37332
2023/11/21 03:28:45.609, 0, 40960, 621, 3005, 37332
2023/11/21 03:28:45.619, 0, 40960, 621, 3005, 37332
2023/11/21 03:28:45.629, 0, 40960, 621, 3005, 37332
2023/11/21 03:28:45.640, 0, 40960, 621, 3005, 37332
2023/11/21 03:28:45.650, 0, 40960, 621, 3005, 37332
2023/11/21 03:28:45.660, 0, 40960, 621, 3005, 37332
2023/11/21 03:28:45.670, 0, 40960, 621, 3005, 37332
2023/11/21 03:28:45.680, 0, 40960, 621, 3005, 37332
2023/11/21 03:28:45.690, 0, 40960, 621, 3005, 37332
2023/11/21 03:28:45.700, 0, 40960, 621, 3005, 37332
2023/11/21 03:28:45.710, 0, 40960, 621, 3005, 37332
2023/11/21 03:28:45.721, 0, 40960, 621, 3005, 37332
2023/11/21 03:28:45.731, 0, 40960, 621, 3005, 37332
2023/11/21 03:28:45.741, 0, 40960, 621, 3005, 37332
2023/11/21 03:28:45.751, 0, 40960, 621, 3005, 37332
2023/11/21 03:28:45.761, 0, 40960, 621, 3005, 37332
2023/11/21 03:28:45.771, 0, 40960, 621, 3005, 37332
2023/11/21 03:28:45.782, 0, 40960, 621, 3005, 37332
2023/11/21 03:28:45.792, 0, 40960, 621, 3005, 37332
2023/11/21 03:28:45.802, 0, 40960, 621, 3005, 37332
2023/11/21 03:28:45.812, 0, 40960, 621, 3005, 37332
2023/11/21 03:28:45.822, 0, 40960, 621, 3005, 37332
2023/11/21 03:28:45.832, 0, 40960, 621, 3005, 37332
2023/11/21 03:28:45.842, 0, 40960, 621, 3005, 37332
2023/11/21 03:28:45.853, 0, 40960, 621, 3005, 37332
2023/11/21 03:28:45.863, 0, 40960, 621, 3005, 37332
2023/11/21 03:28:45.873, 0, 40960, 621, 3005, 37332
2023/11/21 03:28:45.883, 0, 40960, 621, 3005, 37332
2023/11/21 03:28:45.893, 0, 40960, 621, 3005, 37332
2023/11/21 03:28:45.903, 0, 40960, 621, 3005, 37332
2023/11/21 03:28:45.913, 0, 40960, 621, 3005, 37332
2023/11/21 03:28:45.924, 0, 40960, 621, 3005, 37332
2023/11/21 03:28:45.934, 0, 40960, 621, 3005, 37332
2023/11/21 03:28:45.944, 0, 40960, 621, 3005, 37332
2023/11/21 03:28:45.954, 0, 40960, 621, 3005, 37332
2023/11/21 03:28:45.964, 0, 40960, 621, 3005, 37332
2023/11/21 03:28:45.974, 0, 40960, 621, 3005, 37332
2023/11/21 03:28:45.984, 0, 40960, 621, 3005, 37332
2023/11/21 03:28:45.995, 0, 40960, 621, 3005, 37332
2023/11/21 03:28:46.005, 0, 40960, 621, 3005, 37332
2023/11/21 03:28:46.015, 0, 40960, 621, 3005, 37332
2023/11/21 03:28:46.025, 0, 40960, 621, 3005, 37332
2023/11/21 03:28:46.035, 0, 40960, 621, 3005, 37332
2023/11/21 03:28:46.045, 0, 40960, 621, 3005, 37332
2023/11/21 03:28:46.055, 0, 40960, 621, 3005, 37332
2023/11/21 03:28:46.066, 0, 40960, 621, 3005, 37332
2023/11/21 03:28:46.076, 0, 40960, 621, 3005, 37332
2023/11/21 03:28:46.086, 0, 40960, 621, 3005, 37332
2023/11/21 03:28:46.096, 0, 40960, 621, 3005, 37332
2023/11/21 03:28:46.106, 0, 40960, 621, 3005, 37332
2023/11/21 03:28:46.116, 0, 40960, 621, 3005, 37332
2023/11/21 03:28:46.126, 0, 40960, 621, 3005, 37332
2023/11/21 03:28:46.137, 0, 40960, 621, 3005, 37332
